SplitBy,playerId,Batter Hand,Batter Hand_Sort,entityKey,2K K%,SwingingStrike% w/ 2K,Early+Ahead%,Ahead%,FPStk%,K%-BB% (Pit),BB%,K%,CSW%,Fly%,Ground%,HardHit%,BABIP,xWOBAcon,xWOBA,wOBA,Chase%,OZMiss% - P,IZ Ms%,IZ%,Miss%,Heart%,2K IZ%,P,MxVel,Extension,RelSide,RelHeight,HorzBrk,IndVertBrk,Vel,splitByName
TOTAL,,,,,100.0%,,83.3%,80.0%,83.3%,16.7%,16.7%,33.3%,45.0%,33.3%,0.0%,66.7%,.667,.605,.419,.412,14.3%,100.0%,22.2%,65.0%,30.0%,40.0%,60.0%,20,91.9,6.93,-3.1,5.3,1.2,8.7,84.3,

SplitBy,playerId,Batter Hand,Batter Hand_Sort,entityKey,2K K%,SwingingStrike% w/ 2K,Early+Ahead%,Ahead%,FPStk%,K%-BB% (Pit),BB%,K%,CSW%,Fly%,Ground%,HardHit%,BABIP,xWOBAcon,xWOBA,wOBA,Chase%,OZMiss% - P,IZ Ms%,IZ%,Miss%,Heart%,2K IZ%,P,MxVel,Extension,RelSide,RelHeight,HorzBrk,IndVertBrk,Vel,splitByName
Lefty^0,700380,Lefty,0,Lefty,100.0%,25.0%,50.0%,50.0%,100.0%,0.0%,50.0%,50.0%,43.2%,-,-,-,-,-,.349,.349,16.7%,100.0%,50.0%,45.5%,66.7%,18.2%,50.0%,11,91.9,7.02,-3.1,5.2,7.1,8.8,85.6,SplitBy
Righty^1,700380,Righty,1,Righty,100.0%,100.0%,100.0%,100.0%,75.0%,25.0%,0.0%,25.0%,61.1%,33.3%,0.0%,66.7%,.667,.605,.454,.443,0.0%,-,14.3%,88.9%,14.3%,66.7%,100.0%,9,90.8,6.81,-3.1,5.4,-6.0,8.5,82.8,SplitBy
