tarantulaVideoHostedCFURL,playGuid,gameId,gameString,pitchNumInGame,gameDate,uniqPitchId,playguid,fullName,pitchNumInAB,x,y,pitchOutcome,batterHand,abNumInGame,pitcherHand,batterAbbrevName,pitcherAbbrevName,date,pitchDetails,pitchResult,inn,outs,pitchType,pitchTypeFull,releaseVelocity,exitVelocity,statcastFieldersInitialFielderPosition,probSL,atbatDesc,count,gameVenueId,level,hasKinatraxData,hasMLBPlayDiagram,SessionType,gameResult,home,opponent,team,totalRuns,currentRuns,teamId,opponentId,opponentRuns,opponentCurrentRuns,pitchingTeam,pitchingTeamId,battingTeam,battingTeamId,hang,dist,pathEff,react,speed,jump,wall,infieldDist,infieldTime,outProb,pitcher,batter,battingTeam,battingTeamId,batterId,pitchingTeam,pitchingTeamId,pitcherId,catchingTeam,catchingTeamId,catcherId,catcherAbbrevName,type,Vel,Spin,IndVertBrk,HorzBrk,RelZ,RelX,PZ,PX,reportId
,0d25cddc-4d9e-3e44-840c-d81387e61383,818847,gid_2026_08_21_altaax_binaax_1,213,2026-08-21 19:00:00,818847-61-4,0d25cddc-4d9e-3e44-840c-d81387e61383,Joshua Loeschorn,4,-1.9775830588235292,-1.4397507855334304,Ball,L,61,R,C. Collins,J. Loeschorn,2026-08-21 19:00:00,"2-1 Sweeper, 78 mph",Ball,Bot 7,2,ST,Sweeper,78.1,-,,0,,2-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Collins,BNG,505,690970,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,78.1,2614,5.0,-13.5,63.8,-36.2,1.218,1.401,1435-undefined
,d773e9ff-9512-34ab-9a9a-697c369158b4,818847,gid_2026_08_21_altaax_binaax_1,214,2026-08-21 19:00:00,818847-61-5,d773e9ff-9512-34ab-9a9a-697c369158b4,Joshua Loeschorn,5,-1.3476974117647058,0.6687899989129054,Ball,L,61,R,C. Collins,J. Loeschorn,2026-08-21 19:00:00,"3-1 Four Seamer, 89 mph",Walk,Bot 7,2,FF,Four Seamer,89.5,-,,0.2136403584350658,Corey Collins walks. Kevin Parada to 2nd.,3-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Collins,BNG,505,690970,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,89.5,2370,15.4,16.2,63.5,-37.3,3.237,0.955,1435-undefined
,e5506394-6380-314b-8464-a8030f53afbb,818847,gid_2026_08_21_altaax_binaax_1,215,2026-08-21 19:00:00,818847-62-1,e5506394-6380-314b-8464-a8030f53afbb,Joshua Loeschorn,1,-0.008792470588235294,-0.3620410919211066,S,R,62,R,J. Benson,J. Loeschorn,2026-08-21 19:00:00,"0-0 Sweeper, 77 mph",Foul,Bot 7,2,ST,Sweeper,77.1,-,,0.997915722133894,,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Benson,BNG,505,694842,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,77.1,2542,-0.1,-18.8,65.6,-37.5,2.145,0.006,1435-undefined
,4529b2e8-b899-3d21-a842-86fddd303126,818847,gid_2026_08_21_altaax_binaax_1,216,2026-08-21 19:00:00,818847-62-2,4529b2e8-b899-3d21-a842-86fddd303126,Joshua Loeschorn,2,-0.834190588235294,-0.4787823632182931,B,R,62,R,J. Benson,J. Loeschorn,2026-08-21 19:00:00,"0-1 Sweeper, 77 mph",Single on a Line Drive,Bot 7,2,ST,Sweeper,77.4,84.2,,0.9157149355520339,JT Benson singles on a line drive to left fielder Will Taylor. Kevin Parada scores. Corey Collins to 2nd.,0-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Benson,BNG,505,694842,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,77.4,2584,2.9,-17.7,63.0,-38.4,2.037,0.591,1435-undefined
,be887618-8440-30c0-871f-b0706c4ffc54,818847,gid_2026_08_21_altaax_binaax_1,217,2026-08-21 19:00:00,818847-63-1,be887618-8440-30c0-871f-b0706c4ffc54,Joshua Loeschorn,1,-0.44205599999999995,0.5162288289485585,SL,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"0-0 Four Seamer, 90 mph",Strike Looking,Bot 7,2,FF,Four Seamer,89.7,-,,0.9974234654442449,,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,89.7,2404,13.6,15.8,63.8,-37.3,2.912,0.313,1435-undefined
,79e45774-0c24-306b-8c6d-b3e18a78b5eb,818847,gid_2026_08_21_altaax_binaax_1,218,2026-08-21 19:00:00,818847-63-2,79e45774-0c24-306b-8c6d-b3e18a78b5eb,Joshua Loeschorn,2,1.159750588235294,0.7371671528170817,S,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"0-1 Changeup, 83 mph",Strike Swinging,Bot 7,2,CH,Changeup,83.3,-,,0.2414638551155615,,0-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Changeup,83.3,1807,8.9,12.2,62.1,-34.8,3.114,-0.821,1435-undefined
,caf12544-f2bd-3820-b7b7-71e7d036e2e0,818847,gid_2026_08_21_altaax_binaax_1,219,2026-08-21 19:00:00,818847-63-3,caf12544-f2bd-3820-b7b7-71e7d036e2e0,Joshua Loeschorn,3,0.12659858823529413,-0.2561093822330611,S,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"0-2 Changeup, 85 mph",Foul,Bot 7,2,CH,Changeup,85.1,-,,0.9954615295041427,,0-2,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Changeup,85.1,2028,9.2,16.5,62.0,-35.7,2.207,-0.090,1435-undefined
,e3e6f1c4-5556-3555-9930-6bb09e880d14,818847,gid_2026_08_21_altaax_binaax_1,220,2026-08-21 19:00:00,818847-63-4,e3e6f1c4-5556-3555-9930-6bb09e880d14,Joshua Loeschorn,4,1.8193284705882353,1.2541118045392048,Ball,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"0-2 Four Seamer, 92 mph",Ball,Bot 7,2,FF,Four Seamer,91.9,-,,0,,0-2,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,91.9,2420,12.9,15.8,62.7,-38.6,3.586,-1.289,1435-undefined
,9b8d3ab8-3209-3b77-b83a-d2eabe749933,818847,gid_2026_08_21_altaax_binaax_1,221,2026-08-21 19:00:00,818847-63-5,9b8d3ab8-3209-3b77-b83a-d2eabe749933,Joshua Loeschorn,5,-1.1504767058823528,-0.3441442454586034,Ball,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"1-2 Four Seamer, 91 mph",Ball,Bot 7,2,FF,Four Seamer,91.1,-,,0.49397329503074705,,1-2,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,91.1,2525,13.6,17.9,62.0,-37.6,2.127,0.815,1435-undefined
,e8e4c9c3-b41b-30a7-8eaa-bf87d353b9a5,818847,gid_2026_08_21_altaax_binaax_1,222,2026-08-21 19:00:00,818847-63-6,e8e4c9c3-b41b-30a7-8eaa-bf87d353b9a5,Joshua Loeschorn,6,-1.4284503529411765,-1.4334042397171232,S,L,63,R,V. Perozo,J. Loeschorn,2026-08-21 19:00:00,"2-2 Sweeper, 80 mph",Strikeout (Swinging),Bot 7,2,ST,Sweeper,80.1,-,,0,Vincent Perozo strikes out swinging.,2-2,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,8,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Perozo,BNG,505,691710,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,80.1,2693,3.8,-15.2,63.2,-36.6,1.132,1.012,1435-undefined
