PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
11,2023-03-05,10:40:47.16,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.11587,0.2809663421,-1.877535534,2385.989559,209.8769367,1:00,4.67088,1.69181,6.85031,-15.15102,17.04565,9.81404,3.66457,0.79744,82.42699,-2.650587798,0.02202493015,0.4083916603,-6.1514,9.47084,-1.57582,50,4.68321,4.12941,-134.08177,0.24735,-10.95221,34.931,-15.31176,8cc8e7cd-4e43-41bb-ab66-e7129279d25c,479077f3-2a46-4a13-9725-954da1e5d09b,92.29483,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
12,2023-03-05,10:41:07.87,"Foster, Elijah",1000190024,Right,,,ChangeUp,Live,,84.46643,0.7677977728,-2.447604916,2079.245844,245.1244926,2:15,4.18148,1.86518,6.91952,-31.56791,6.35626,13.80535,2.25052,0.78595,76.42941,-5.30966695,0.2157281957,0.4432303277,-8.52769,3.32608,-1.71712,50,4.21822,4.91629,-122.96474,0.87238,-12.88344,27.4017,-27.14909,0e8c34b5-79b4-44a8-b6f5-65833087dd6f,479077f3-2a46-4a13-9725-954da1e5d09b,85.0403,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
13,2023-03-05,10:42:45.91,"Foster, Elijah",1000190024,Right,,,ChangeUp,Live,,84.28211,0.498040371,-2.63086487,2026.096232,245.5188536,2:15,4.12588,1.95337,6.79099,-31.71507,6.45379,14.27082,1.93799,0.73985,76.53442,-5.580292955,0.1105660164,0.4446578515,-8.77479,3.45169,-1.78846,50,4.14602,5.2748,-122.68186,0.26222,-13.24473,26.44837,-26.96405,c553c539-12fa-457a-95df-231098ef8ce4,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,84.76729,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
14,2023-03-05,10:43:11.91,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.46025,,,2520.177762,,,5.54455,2.46163,6.97427,,,,3.70019,3.02962,82.48279,,,0.4066179907,-9.84019,16.6922,-2.41081,50,5.43789,1.71805,-134.5826,-4.11809,-17.57714,36.3035,-2.35745,8d8f4f19-1720-43bf-94a0-0ccbf37e2fd3,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,92.69742,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
15,2023-03-05,10:43:27.61,"Foster, Elijah",1000190024,Right,,,ChangeUp,Live,,83.24241,2.667192007,-2.675235571,1961.817134,245.867601,2:15,4.03931,1.92735,6.65846,-33.83291,5.73929,12.94749,3.66471,0.55678,74.99749,-3.824108406,-0.1889924388,0.4527583499,-8.05559,2.34203,-1.75318,50,4.20464,5.31988,-120.98001,4.77186,-11.77286,26.66512,-28.75129,0d553d06-cce5-4d2f-9fd6-da32263980a8,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,83.25068,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
16,2023-03-05,10:43:54.19,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.40412,,,2425.174622,,,5.13565,2.47733,6.08349,,,,1.16206,-0.22102,82.4701,,,0.4153005118,-14.13756,14.94582,-2.10611,50,4.8568,10.87101,-133.62782,-8.56932,-25.02825,34.409,-5.7149,72a14c9e-b41a-4ef1-b1ca-0dc3ab6a1074,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,90.75943,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
17,2023-03-05,10:44:23.23,"Foster, Elijah",1000190024,Right,,,Slider,Live,,81.68731,,,2338.610753,,,4.21933,2.04752,6.41055,,,,2.44985,1.02509,74.83562,-5.103189865,-0.6577323008,0.45988443,-2.93613,4.49635,-1.94068,50,4.27506,3.0473,-118.97063,1.18659,-4.21097,22.68187,-25.72542,bdc5e3a5-1112-4544-aa98-659a658fc0ca,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,81.96068,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
18,2023-03-05,10:44:52.53,"Foster, Elijah",1000190024,Right,,,Slider,Live,,85.21763,0.2482318674,-2.780429974,2434.978402,205.8846536,12:45,4.23258,1.87513,6.45921,-31.37992,6.46055,3.15426,1.84584,-0.41768,77.403,-5.724312157,-2.178844212,0.442740934,-2.5919,3.48875,-1.68037,50,4.23603,5.93313,-123.96009,-0.32869,-3.99396,27.01559,-26.79811,db5a8780-2b20-45d2-beac-ea02669fe95f,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,85.1343,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
19,2023-03-05,10:45:15.28,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.67298,-0.2240484696,-0.856627696,2555.637131,214.2859459,1:15,4.61047,1.74089,7.05009,-16.23185,15.12651,10.33166,3.05433,1.82387,83.5427,-3.364291789,1.144814088,0.4030398979,-6.11079,8.61265,-1.69276,50,4.59159,1.74935,-135.0443,-0.95208,-11.10533,33.76939,-16.52201,1390ccee-c754-429a-b8de-5ec6479ca893,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,93.52037,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
20,2023-03-05,10:45:39.47,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,91.43578,,,2514.232088,,,4.36218,1.85317,6.8162,,,,3.61796,2.09601,82.41364,-3.283578806,1.739925072,0.4104734452,-8.47063,4.11624,-1.79047,50,4.44361,2.06813,-133.14068,2.61085,-14.97002,32.70135,-24.89947,3bcbf5a3-0ff8-43ae-a3df-b9fee406dced,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,91.82674,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
21,2023-03-05,10:46:06.73,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.79077,,,2548.307354,,,4.37591,1.77868,7.09209,,,,3.14036,1.13548,83.75103,-3.509130735,0.538659757,0.402063846,-7.50594,5.51578,-1.67366,50,4.40341,4.00819,-135.17799,0.81684,-13.69132,33.37146,-22.1129,2662aeb6-9622-48a6-b9a6-ff9014169979,e6e22222-a902-4cdb-8dd5-6c76b7d780ac,93.7474,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
