PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
11,2023-02-10,10:52:46.03,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.15018,-0.7504797083,-3.347362557,2250.841846,223.0677475,1:30,4.78405,1.76354,5.15124,-22.20053,16.04702,15.04304,2.22635,-0.13724,78.51537,-4.890928072,-0.5382772884,0.4451160276,-8.98712,8.69506,-1.46199,50,4.69732,6.85863,-126.3744,-2.44466,-14.34408,28.89071,-18.29612,d9df4ff5-798b-4173-a8f4-f7d57663a2dc,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,84.68003,Pitching,22420029,,,,,,,,,,,,,,,,,,,,12.37265101,2198.565294,0.9767746666,
12,2023-02-10,10:53:25.88,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,86.63295,0.05440002903,-2.557717783,2123.261043,225.5427001,1:30,4.78358,1.82765,5.06307,-23.09615,15.8133,16.16561,2.91024,0.76174,77.74708,-4.257826514,0.4644476968,0.4489509885,-9.33879,8.2988,-1.59722,50,4.77106,5.0383,-125.6671,-0.70249,-14.68308,29.45621,-19.1261,29a881ce-566c-4bd4-b865-0a82ec1cefe6,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,83.95669,Pitching,22420029,,,,,,,,,,,,,,,,,,,233.0715105,14.99842428,2050.92779,0.9659329439,1:45
13,2023-02-10,10:53:48.43,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,79.00563,1.384661772,-1.639995575,1832.530343,259.9983936,2:45,4.58725,1.82209,4.96086,-43.27554,4.06697,23.37949,2.28969,2.22082,70.64046,-6.695137795,2.743721536,0.4952186977,-12.86294,1.64529,-1.6819,50,4.68716,2.51507,-114.52993,1.35525,-16.64104,26.27546,-30.04551,0563d30b-40c3-4984-a465-93b6de50b2e5,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,76.11271,Pitching,22420029,,,,,,,,,,,,,,,,,,,,20.10031912,1720.915204,0.939092338,
14,2023-02-10,10:54:07.80,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,79.10746,-0.0458969494,-3.745313802,1802.17299,250.5916549,2:15,4.454,1.67423,5.28461,-39.10016,7.2648,20.77095,1.15247,-0.11651,71.33807,-7.347413922,0.1495819249,0.4900792794,-12.23399,3.86552,-1.34767,50,4.42204,6.85404,-114.66758,-1.31988,-16.01736,24.49955,-27.11312,d34ab476-4681-4342-849f-064a7435092b,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,76.9109,Pitching,22420029,,,,,,,,,,,,,,,,,,,,28.94021032,1577.126895,0.8751251426,
15,2023-02-10,10:54:24.10,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,80.18527,-0.7509083182,-2.751924116,1810.88773,268.981951,3:00,4.57035,1.7516,5.41603,-43.98916,0.31027,18.89039,0.2004,0.74623,73.57403,-8.904760979,0.7784965388,0.4790385627,-10.82291,0.3821,-1.52024,50,4.47349,5.00238,-116.47393,-2.91663,-14.80965,22.67296,-31.6512,6396c8c9-de24-4628-84f4-74691e320570,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,78.68352,Pitching,22420029,,,,,,,,,,,,,,,,,,,258.6444334,32.5146079,1527.039102,0.8432544307,2:30
16,2023-02-10,10:54:43.02,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,79.04849,-1.560079379,-3.412326715,1827.565205,263.1995372,2:45,4.46055,1.79118,5.60936,,,,,,,,,,-11.94536,1.8061,-1.51235,50,4.29967,6.23639,-114.6278,-4.42239,-15.58708,24.99797,-29.81733,c268136a-8f3a-44b8-8762-bea68762477b,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,,Pitching,22420029,,,,,,,,,,,,,,,,,,,251.2217338,34.87065053,1499.416455,0.8204448471,2:15
17,2023-02-10,10:54:58.66,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,79.60107,-0.7636727713,-2.967196159,1882.35992,246.9709231,2:15,4.55818,1.81177,5.37639,-36.33327,9.04474,21.35915,0.81358,0.80794,72.19983,-7.537679111,1.03809819,0.4848351986,-12.27525,5.04363,-1.56101,50,4.46472,5.31957,-115.52327,-2.67896,-16.38648,23.968,-25.44121,ed6452fa-4cab-4093-9eb5-87f701768282,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,77.74279,Pitching,22420029,,,,,,,,,,,,,,,,,,,242.3269966,22.17605641,1743.118748,0.9260284015,2:00
18,2023-02-10,10:55:14.90,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,75.75344,-0.616485379,-3.403798365,2441.887952,94.16785582,9:15,4.64041,1.89581,4.54791,,,,,,,,,,6.05807,0.65917,-1.52942,50,4.53036,6.99451,-109.83626,-2.88682,7.38751,19.77456,-31.37022,17207cf2-2836-48c8-96fc-b596b633c195,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,,Pitching,22420029,,,,,,,,,,,,,,,,,,,69.00999559,64.51726501,1050.595675,0.4302391001,8:15
19,2023-02-10,10:55:31.67,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,76.23586,-0.5233468757,-2.449298321,2419.320227,104.5251328,9:30,4.62061,1.81298,4.84214,-46.04722,4.01244,-15.68536,0.28744,-1.81421,70.23548,-8.933867359,-5.338321904,0.5092316061,7.45144,2.23756,-1.55798,50,4.53059,5.24663,-110.66813,-2.51744,9.2089,20.39313,-29.40875,0830931e-22dd-40ed-8967-0dbb28e81b1f,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,74.01826,Pitching,22420029,,,,,,,,,,,,,,,,,,,,,,,
20,2023-02-10,10:55:47.96,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,75.14531,-0.03920503204,-2.155971724,2318.358,55.5932644,7:45,4.58,1.8724,4.33931,,,,,,,,,,4.51442,-3.49747,-1.6308,50,4.51829,4.45293,-109.09064,-2.12098,5.4586,18.58366,-36.40301,6d20ee0d-5992-4bbf-9483-ac94a9fd2aa4,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,,Pitching,22420029,,,,,,,,,,,,,,,,,,,,,,,
21,2023-02-10,10:56:21.48,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,73.34345,,,2347.954163,,,4.55065,1.72702,4.04977,,,,2.27144,0.20238,67.11285,-7.429722583,-3.445657975,0.5371212312,9.87049,0.50797,-1.71792,50,4.74901,0.49076,-106.35705,2.33592,11.27398,18.72433,-31.59384,27c85e6b-bf7c-4e6b-98b7-a2a93c4dc772,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,70.17492,Pitching,22420029,,,,,,,,,,,,,,,,,,,,,,,
22,2023-02-10,10:57:18.09,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,73.66083,1.202499236,-1.008721808,2296.83913,78.37047056,8:30,4.69877,1.88856,4.37338,-58.4134,-3.77987,-18.17607,0.97954,-0.58939,67.70533,-9.418265118,-4.340591696,0.5319870259,9.0073,-2.28863,-1.76331,50,4.77146,2.49228,-106.88991,0.28289,10.36265,19.3872,-34.80705,c5b6e4eb-b720-48bd-a080-5ecd9b31b79f,14d8ef1d-039f-40cf-8513-55abc1dd6d76,70.85218,Pitching,22420029,,,,,,,,,,,,,,,,,,,85.68010796,52.16357868,1408.902274,0.6134092092,8:45
23,2023-02-10,10:57:31.74,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,75.74404,-0.4531525173,-2.568158798,2501.715163,97.83591858,9:15,4.64681,1.70419,4.77407,-48.9933,2.74272,-20.31505,0.13408,-2.42459,68.73399,-9.452282561,-6.335477652,0.5176877891,9.70993,1.5857,-1.43043,50,4.56051,5.57832,-109.75945,-2.44933,11.58168,23.45498,-30.28268,9521de8c-6f3a-4606-ac6f-6fd2b8f79ffa,14d8ef1d-039f-40cf-8513-55abc1dd6d76,72.80921,Pitching,22420029,,,,,,,,,,,,,,,,,,,82.49552054,60.63000524,1226.959798,0.4904474402,8:45
24,2023-02-10,10:57:49.03,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,88.15789,-2.325879216,-4.324779794,2213.71913,240.6138736,2:00,4.52227,1.83707,5.32694,-26.27991,10.80408,19.17448,0.1427,-0.6303,80.05086,-7.210954634,-0.7460730237,0.4382930896,-11.45617,6.42277,-1.45948,50,4.29308,8.98555,-127.68701,-6.12042,-18.76746,28.18751,-21.65228,cfecb14d-836b-4364-9633-110056632ac5,14d8ef1d-039f-40cf-8513-55abc1dd6d76,85.99825,Pitching,22420029,,,,,,,,,,,,,,,,,,,,18.13321535,2103.775804,0.9503354675,
25,2023-02-10,10:58:26.22,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,88.33212,-1.597509164,-3.722009572,2193.59816,236.7177937,2:00,4.69358,1.84017,5.12471,-24.46547,13.24767,20.20827,1.1468,0.01412,78.81446,-6.176636494,0.07179276417,0.4419954045,-11.97558,7.55617,-1.50564,50,4.52515,7.59806,-127.87693,-4.44643,-19.34587,32.36872,-19.96748,7711810d-f593-485a-bfc2-e65c31b676b9,14d8ef1d-039f-40cf-8513-55abc1dd6d76,85.2779,Pitching,22420029,,,,,,,,,,,,,,,,,,,,17.83665396,2088.159869,0.9519336348,
26,2023-02-10,10:58:40.37,"Loeschorn, Josh",1000207036,Right,,,Slider,Live,,75.56412,-0.6992091067,-1.899349603,2447.046098,96.76050814,9:15,4.55914,1.82003,4.71118,,,,,,,,,,7.98867,1.18997,-1.61382,50,4.44577,4.18177,-109.69661,-2.96596,9.69061,20.21619,-30.73056,ada88459-c666-4e2c-b3e3-4136aa21df14,14d8ef1d-039f-40cf-8513-55abc1dd6d76,,Pitching,22420029,,,,,,,,,,,,,,,,,,,,,,,
27,2023-02-10,10:59:19.70,"Loeschorn, Josh",1000207036,Right,,,ChangeUp,Live,,80.50496,-1.208542054,-4.208595061,1913.72191,260.5070283,2:45,4.58311,1.83886,5.11565,-41.22314,4.07485,24.4289,0.00629,-0.09658,72.51822,-8.873418893,0.3665454659,0.484407519,-14.31049,2.55915,-1.46106,50,4.43832,7.77754,-116.52953,-3.81062,-19.27205,26.10282,-28.72763,4ab5729c-c7ec-427a-a728-a8ae3dfbd15a,14d8ef1d-039f-40cf-8513-55abc1dd6d76,77.81142,Pitching,22420029,,,,,,,,,,,,,,,,,,,247.9673852,28.92245637,1675.033027,0.8752750432,2:15
28,2023-02-10,10:59:33.34,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.02293,-0.7171421079,-3.20095584,2253.412619,226.1366379,1:30,4.60921,1.7337,5.15826,-23.96841,14.87498,15.52261,1.93582,0.01154,77.368,-5.219170691,-0.2799787082,0.4485696841,-9.36215,8.12826,-1.44645,50,4.52464,6.50875,-126.06953,-2.417,-14.65562,32.15386,-19.44997,4f976cb3-09e2-484c-8efc-0024315f9e20,14d8ef1d-039f-40cf-8513-55abc1dd6d76,84.02806,Pitching,22420029,,,,,,,,,,,,,,,,,,,,2.259486961,2251.660641,0.999222522,
